end_station_name,member_casual,total_trips_end_station
Lincoln Ave & Waveland Ave,casual,202
Damen Ave & Melrose Ave,member,201
Winchester Ave & Elston Ave,member,201
Damen Ave & Clybourn Ave,casual,200
Lincoln Ave & Sunnyside Ave,casual,200
Paulina St & 18th St,casual,200
California Ave & Fletcher St,casual,198
State St & 19th St,member,196
Talman Ave & Addison St,member,196
Clark St & Schreiber Ave,member,195
Ravenswood Ave & Irving Park Rd,casual,195
California Ave & Francis Pl (Temp),casual,194
Paulina St & Montrose Ave,member,194
California Ave & Altgeld St,casual,193
California Ave & Division St,member,192
Calumet Ave & 21st St,casual,192
Leavitt St & Belmont Ave,casual,191
Racine Ave & Washington Blvd,casual,191
Rockwell St & Eastwood Ave,member,189
Halsted St & Polk St,casual,188
Clark St & Lunt Ave,member,186
California Ave & Montrose Ave,member,185
Canal St & Jackson Blvd,casual,185
Winchester Ave & Elston Ave,casual,184
Ashland Ave & Belle Plaine Ave,member,183
Clark St & Ida B Wells Dr,casual,183
Field Museum,member,183
California Ave & Fletcher St,member,182
Campbell Ave & Fullerton Ave,member,181
Clinton St & 18th St,member,181
Racine Ave & Randolph St,casual,181
University Library (NU),member,180
Throop St & Taylor St,casual,179
Damen Ave & Madison St,casual,178
Clark St & Columbia Ave,member,176
Ellis Ave & 58th St,casual,176
Lincoln Ave & Addison St,member,176
Canal St & Harrison St,member,175
Leavitt St & Lawrence Ave,member,174
Wallace St & 35th St,member,173
Racine Ave & 15th St,member,172
Ellis Ave & 53rd St,casual,171
Troy St & North Ave,casual,171
Ashland Ave & Belle Plaine Ave,casual,169
Damen Ave & Leland Ave,casual,168
Campbell Ave & Fullerton Ave,casual,167
Wells St & 19th St,casual,165
Hermitage Ave & Polk St,member,164
Leavitt St & Addison St,member,164
Spaulding Ave & Armitage Ave,member,164
Artesian Ave & Hubbard St,member,163
St. Louis Ave & Fullerton Ave,member,161
St. Louis Ave & Fullerton Ave,casual,160
Wolcott (Ravenswood) Ave & Montrose Ave,casual,158
Paulina St & Flournoy St,casual,157
Damen Ave & Cullerton St,member,156
MLK Jr Dr & 29th St,casual,156
63rd St Beach,casual,155
Damen Ave & Walnut (Lake) St,casual,155
Lincoln Ave & Addison St,casual,155
Paulina St & Howard St,member,154
Western Ave & Monroe St,member,154
Western Ave & Roscoe St,member,154
Wood St & Hubbard St,casual,154
Damen Ave & Walnut (Lake) St,member,153
Oakley Ave & Irving Park Rd,member,153
State St & 19th St,casual,153
State St & 33rd St,casual,153
Damen Ave & Cullerton St,casual,152
Glenwood Ave & Morse Ave,casual,152
Cherry Ave & Blackhawk St,member,151
Damen Ave & Foster Ave,casual,149
Eastlake Ter & Rogers Ave,member,149
Elston Ave & Wabansia Ave,casual,149
Halsted St & North Branch St,member,148
Museum of Science and Industry,member,148
Central Park Ave & Bloomingdale Ave,member,147
Hoyne Ave & Balmoral Ave,member,147
Lincoln Ave & Winona St,member,147
Smith Park,member,147
Talman Ave & Addison St,casual,145
Western Ave & Roscoe St,casual,142
Emerald Ave & 31st St,casual,141
Francisco Ave & Foster Ave,member,140
Wells St & 19th St,member,139
Winchester (Ravenswood) Ave & Balmoral Ave,member,139
Claremont Ave & Hirsch St,member,137
Laflin St & Cullerton St,casual,136
Wolcott Ave & Polk St,casual,136
California Ave & Montrose Ave,casual,134
Calumet Ave & 35th St,member,134
Claremont Ave & Hirsch St,casual,134
Glenwood Ave & Touhy Ave,member,134
Lake Park Ave & 47th St,member,134
Sheridan Rd & Columbia Ave,casual,134
California Ave & Byron St,member,131
Lake Park Ave & 47th St,casual,131
Troy St & Elston Ave,member,129
